epoch,train_loss,val_loss,val_acc,lr
1,6.44171142578125,5.158813953399658,0.1704820239680426,0.001
2,4.776225566864014,4.1391143798828125,0.35931291611185084,0.0009972636867364526
3,4.16289758682251,3.8406982421875,0.4019014647137151,0.000989084726566536
4,3.844543218612671,3.365309476852417,0.5290758988015979,0.0009755527298894295
5,3.650353193283081,3.2163784503936768,0.5578162450066578,0.0009568159560924792
6,3.509294033050537,3.14153790473938,0.5679467376830892,0.0009330796891903274
7,3.4051430225372314,3.0419602394104004,0.5949507323568575,0.0009046039886902865
8,3.325533866882324,2.9174163341522217,0.6251185086551265,0.0008717008403259585
9,3.257246732711792,2.9443342685699463,0.6047296937416777,0.0008347307378762498
10,3.1972601413726807,2.8404901027679443,0.6384766977363515,0.0007940987335200904
11,3.1503398418426514,2.777517557144165,0.6590625832223702,0.00075025
12,3.1019279956817627,2.77353572845459,0.6532623169107856,0.0007036649532163624
13,3.062931537628174,2.7408018112182617,0.6657043941411451,0.0006548539886902864
14,3.0234363079071045,2.6873435974121094,0.6801810918774966,0.0006043518895634709
